ruolo,nome,squadra,costo
P,Audero,Cremonese,5
P,Bagnolini,Bologna,1
P,Bijlow,Genoa,1
P,Butez,Como,31
P,Caprile,Cagliari,12
P,Carnesecchi,Atalanta,40
P,Cavlina,Como,2
P,Christensen,Fiorentina,1
P,Ciocci,Cagliari,1
P,Contini,Napoli,2
P,Corvi,Parma,2
P,Dajcar,Atalanta,1
P,De Gea,Fiorentina,11
P,Di Gennaro,Inter,2
P,Di Gregorio,Juventus,30
P,Donnarumma,Torino,1
P,Falcone,Lecce,19
P,Fruchtl,Lecce,2
P,Fulignati,Cremonese,13
P,Furlanetto,Lazio,1
P,Gollini,Roma,1
P,Guaita,Parma,6
P,Iliev,Cagliari,1
P,Israel,Torino,7
P,Leali,Genoa,9
P,Lezzerini,Fiorentina,1
P,Loria,Pisa,1
P,Magro,Hellas Verona,1
P,Maignan,Milan,37
P,Malovec,Cremonese,1
P,Mandas,Lazio,1
P,Marin,Roma,1
P,Martinelli,Fiorentina,1
P,Martinez,Inter,5
P,Meret,Napoli,13
P,Milinkovic,Napoli,29
P,Montipò,Hellas Verona,5
P,Moretta,Parma,1
P,Motta,Lazio,1
P,Muric,Sassuolo,3
P,Nava,Cremonese,1
P,Nicolas,Pisa,1
P,Nunziante,Udinese,1
P,Okoye,Udinese,4
P,Padelli,Udinese,2
P,Paleari,Torino,3
P,Perilli,Hellas Verona,1
P,Perin,Juventus,1
P,Pessina,Bologna,4
P,Pezzella,Cremonese,13
P,Piana,Udinese,1
P,Pinsoglio,Juventus,1
P,Popa,Torino,1
P,Provedel,Lazio,28
P,Radunovic,Cagliari,1
P,Ravaglia,Bologna,1
P,Rinaldi,Parma,2
P,Rossi,Atalanta,1
P,Russo,Sassuolo,1
P,Samooja,Lecce,2
P,Saro,Cremonese,1
P,Satalino,Sassuolo,1
P,Sava,Udinese,3
P,Scuffet,Pisa,1
P,Semper,Pisa,5
P,Sherri,Cagliari,1
P,Siegrist,Genoa,1
P,Silvestri,Cremonese,2
P,Skorupski,Bologna,15
P,Sommariva,Genoa,1
P,Sommer,Inter,27
P,Sportiello,Atalanta,1
P,Suzuki,Parma,11
P,Svilar,Roma,34
P,Terracciano,Milan,6
P,Torriani,Milan,2
P,Turati,Sassuolo,7
P,Vasquez,Roma,4
P,Vigorito,Como,2
P,Zacchi,Sassuolo,1
D,Abdulhamid,Roma,8
D,Acerbi,Inter,20
D,Ahanor,Atalanta,16
D,Aidoo,Inter,1
D,Akanji,Inter,28
D,Albiol,Pisa,8
D,Alexiou,Inter,2
D,Amoran,Parma,1
D,Angelino,Roma,7
D,Angori,Pisa,15
D,Arizala,Udinese,4
D,Athekame,Milan,14
D,Azzi,Cremonese,14
D,Bakker,Atalanta,8
D,Balogh,Parma,6
D,Bani,Genoa,19
D,Barbieri,Cremonese,17
D,Bartesaghi,Milan,21
D,Baschirotto,Cremonese,24
D,Bastoni,Inter,36
D,Belghali,Hellas Verona,16
D,Bella-Kotchap,Hellas Verona,14
D,Bellanova,Atalanta,18
D,Bernasconi,Atalanta,13
D,Bertola,Udinese,18
D,Beukema,Napoli,21
D,Bianchetti,Cremonese,16
D,Biraghi,Torino,10
D,Bisseck,Inter,19
D,Bonfanti,Pisa,8
D,Bonifazi,Bologna,3
D,Bozhinov,Pisa,2
D,Bradaric,Hellas Verona,14
D,Bremer,Juventus,35
D,Britschgi,Parma,12
D,Buongiorno,Napoli,27
D,Cabal,Juventus,18
D,Calabrese,Hellas Verona,1
D,Calabresi,Pisa,10
D,Cambiaso,Juventus,26
D,Candé,Sassuolo,8
D,Canestrelli,Pisa,13
D,Caracciolo,Pisa,10
D,Carboni,Parma,8
D,Carlos,Como,15
D,Carlos Augusto,Inter,27
D,Casale,Bologna,10
D,Ceccherini,Cremonese,8
D,Celik,Roma,22
D,Cham,Hellas Verona,3
D,Circati,Parma,13
D,Cittadini,Atalanta,2
D,Cocchi,Inter,2
D,Coco,Torino,23
D,Comi,Atalanta,1
D,Comuzzo,Fiorentina,21
D,Coppola,Pisa,3
D,Corazza,Bologna,2
D,Costa,Juventus,19
D,Coulibaly,Sassuolo,8
D,Cuadrado,Pisa,21
D,Darmian,Inter,9
D,De Silvestri,Bologna,8
D,De Vrij,Inter,11
D,De Winter,Milan,21
D,Del Prato,Parma,23
D,Dembelé,Torino,7
D,Denoon,Pisa,2
D,Di Lorenzo,Napoli,32
D,Dimarco,Inter,57
D,Djalo,Juventus,2
D,Djimsiti,Atalanta,26
D,Dodo,Fiorentina,29
D,Doig,Sassuolo,18
D,Dossena,Cagliari,8
D,Dumfries,Inter,20
D,Ebosse,Torino,6
D,Edmundsson,Hellas Verona,4
D,Ehizibue,Udinese,13
D,Emerson Royal,Milan,9
D,Erlic,Bologna,13
D,Esposito,Lecce,1
D,Esteban,Lecce,2
D,Esteves,Pisa,8
D,Estupinan,Milan,15
D,Faye,Cremonese,9
D,Felipe,Sassuolo,3
D,Floriani Mussolini,Cremonese,10
D,Folino,Cremonese,11
D,Fortini,Fiorentina,10
D,Frese,Hellas Verona,16
D,Gabbia,Milan,26
D,Gabriel,Lecce,13
D,Gallo,Lecce,19
D,Garcia,Sassuolo,8
D,Gaspar,Lecce,14
D,Gatti,Juventus,12
D,Ghilardi,Roma,11
D,Giannetti,Udinese,13
D,Gigot,Lazio,8
D,Gila,Lazio,21
D,Godfrey,Atalanta,4
D,Goglichidze,Udinese,7
D,Goldaniga,Como,8
D,Gonzalez,Juventus,4
D,Gosens,Fiorentina,24
D,Guilbert,Lecce,8
D,Gunter,Hellas Verona,3
D,Gutierrez,Napoli,20
D,Heggem,Bologna,14
D,Helland,Bologna,7
D,Hermoso,Roma,20
D,Hien,Atalanta,24
D,Holm,Juventus,19
D,Hysaj,Lazio,8
D,Idrissi,Cagliari,18
D,Idzes,Sassuolo,23
D,Ilic,Bologna,3
D,Iling-Junior,Pisa,10
D,Ioannou,Como,2
D,Ismajli,Torino,19
D,Jack,Como,2
D,Jean,Lecce,4
D,Jesus,Napoli,16
D,Jimenez,Milan,16
D,Kabasele,Udinese,22
D,Kalulu,Juventus,33
D,Kamara,Udinese,16
D,Kelly,Juventus,23
D,Kempf,Como,26
D,Kolasinac,Atalanta,8
D,Kospo,Fiorentina,1
D,Kossounou,Atalanta,14
D,Kouadio,Fiorentina,2
D,Kouassi,Lecce,7
D,Kristensen,Udinese,12
D,Kumbulla,Roma,9
D,Kumer Celik,Genoa,1
D,Kurti,Hellas Verona,2
D,Lamptey,Fiorentina,7
D,Lazaro,Torino,21
D,Lazzari,Lazio,14
D,Leoni,Parma,17
D,Lirola,Hellas Verona,7
D,Lovik,Parma,8
D,Lucchesi,Fiorentina,2
D,Lucumi,Bologna,24
D,Luis Henrique,Inter,21
D,Luperto,Cremonese,26
D,Lusuardi,Pisa,3
D,Lykogiannis,Bologna,11
D,Mancini,Roma,29
D,Marcandalli,Genoa,11
D,Mari,Fiorentina,11
D,Marianucci,Torino,7
D,Mario,Bologna,9
D,Maripan,Torino,24
D,Martin,Genoa,26
D,Marusic,Lazio,20
D,Masina,Torino,8
D,Mazzocchi,Napoli,8
D,Mbambi,Pisa,5
D,Mina,Cagliari,22
D,Miranda,Bologna,20
D,Missori,Sassuolo,1
D,Mlacic,Udinese,5
D,Modesto,Udinese,8
D,Moreno,Como,15
D,Moreno,Fiorentina,6
D,Moretti,Cremonese,8
D,Muharemovic,Sassuolo,23
D,Ndaba,Lecce,9
D,Ndiaye,Parma,5
D,Ndicka,Roma,22
D,Nelsson,Hellas Verona,9
D,Nkounkou,Torino,8
D,Norton-Cuffy,Genoa,23
D,Nunez,Hellas Verona,12
D,Nuno Tavares,Lazio,13
D,Obert,Cagliari,16
D,Obrador,Torino,7
D,Obric,Atalanta,1
D,Odenthal,Sassuolo,14
D,Odogu,Milan,3
D,Olivera,Napoli,15
D,Ostigard,Genoa,25
D,Otoa,Genoa,4
D,Oyegoke,Hellas Verona,6
D,Palacios,Inter,3
D,Palestra,Cagliari,28
D,Palma,Udinese,3
D,Parisi,Fiorentina,18
D,Patric,Lazio,8
D,Patrick,Hellas Verona,1
D,Pavard,Inter,27
D,Pavlovic,Milan,33
D,Paz,Sassuolo,6
D,Pedersen,Torino,19
D,Pehlivanov,Lecce,2
D,Pellegrini,Lazio,15
D,Pellini,Torino,1
D,Perez,Lecce,2
D,Perez,Torino,1
D,Pezzella,Cremonese,12
D,Pickel,Cremonese,13
D,Pieragnolo,Sassuolo,8
D,Pongracic,Fiorentina,17
D,Posch,Como,18
D,Provstgaard,Lazio,9
D,Quagliata,Cremonese,4
D,Ramon,Como,24
D,Ranieri,Fiorentina,14
D,Raterink,Cagliari,3
D,Ravanelli,Cremonese,8
D,Re Cecconi,Inter,2
D,Rensch,Roma,13
D,Roberto,Como,9
D,Rocchetti,Cremonese,2
D,Rodriguez,Cagliari,5
D,Romagna,Sassuolo,8
D,Romagnoli,Lazio,24
D,Rouhi,Juventus,1
D,Rrahmani,Napoli,24
D,Rugani,Fiorentina,8
D,Rus,Pisa,4
D,Sabelli,Genoa,8
D,Sala,Como,6
D,Salah-Eddine,Roma,7
D,Sangaré,Roma,1
